ID,vendorCode,vendorName,email,phone,address,city,state,country,postalCode,currency_code,taxId,externalSupplierId,assignedManager,status,isActive,vendorType,creditLimit,paymentTerms,bankName,bankAccount,swiftCode
11111111-1111-1111-1111-111111111111,V001,Acme Corp,contact@acme.com,+1-111111111,100 Main Street,New York,NY,USA,10001,USD,TAX001,S4001,manager1,APPROVED,true,Manufacturer,500000,NET30,Citi Bank,10000001,CITIUS33
22222222-2222-2222-2222-222222222222,V002,Tech Solutions Ltd,info@tech.com,+44-222222222,12 Oxford Road,London,London,UK,EC1A,EUR,TAX002,S4002,manager2,APPROVED,true,IT Services,350000,NET30,HSBC,10000002,MIDLGB22
33333333-3333-3333-3333-333333333333,V003,Global Supplies,sales@global.com,+91-333333333,MG Road,Bengaluru,Karnataka,India,560001,INR,TAX003,S4003,manager1,APPROVED,true,Distributor,800000,NET45,HDFC,10000003,HDFCINBB
44444444-4444-4444-4444-444444444444,V004,New Vendor Inc,hello@newvendor.com,+1-444444444,Market Street,Chicago,IL,USA,60601,USD,TAX004,S4004,manager2,PENDING,true,Supplier,150000,NET30,Chase,10000004,CHASUS33
55555555-5555-5555-5555-555555555555,V005,Quality Parts,mail@quality.com,+49-555555555,Berlin Center,Berlin,Berlin,Germany,10115,EUR,TAX005,S4005,manager1,APPROVED,true,Manufacturer,650000,NET60,Deutsche Bank,10000005,DEUTDEFF
66666666-6666-6666-6666-666666666666,V006,Supply Chain Co,office@supply.com,+44-666666666,King Street,Manchester,England,UK,M11AA,GBP,TAX006,S4006,manager2,APPROVED,true,Wholesaler,400000,NET30,Barclays,10000006,BUKBGB22
77777777-7777-7777-7777-777777777777,V007,Materials Plus,contact@materials.com,+1-777777777,Queen Street,Toronto,Ontario,Canada,M5H,USD,TAX007,S4007,manager1,SUSPENDED,true,Supplier,250000,NET45,RBC,10000007,ROYCCAT2
88888888-8888-8888-8888-888888888888,V008,Service Provider,service@provider.com,+61-888888888,George Street,Sydney,NSW,Australia,2000,AUD,TAX008,S4008,manager2,APPROVED,true,Consulting,450000,NET30,ANZ,10000008,ANZBAU3M
99999999-9999-9999-9999-999999999999,V009,Industrial Goods,industrial@goods.com,+33-999999999,Paris Centre,Paris,Ile-de-France,France,75001,EUR,TAX009,S4009,manager1,PENDING,true,Manufacturer,700000,NET30,BNP,10000009,BNPAFRPP
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,V010,Equipment Rental,rental@equip.com,+1-101010101,Sunset Blvd,Los Angeles,CA,USA,90001,USD,TAX010,S4010,manager2,APPROVED,true,Rental,900000,NET30,Bank of America,10000010,BOFAUS3N
