ID,invoice_ID,lineNumber,description,quantity,unitPrice,totalAmount,taxPercentage,discount,netAmount
20000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000001,1,Software License,5,6000,30000,18,0,30000
20000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000001,2,Support Services,4,5000,20000,18,0,20000
20000000-0000-0000-0000-000000000003,10000000-0000-0000-0000-000000000002,1,Laptop Purchase,5,3000,15000,18,0,15000
20000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000002,2,Accessories,5,2000,10000,18,0,10000
20000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000003,1,Raw Materials,3,3000,9000,18,0,9000
20000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000003,2,Transportation,2,3000,6000,18,0,6000
20000000-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000004,1,Industrial Parts,5,5000,25000,18,0,25000
20000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000004,2,Packaging,4,5000,20000,18,0,20000
20000000-0000-0000-0000-000000000009,10000000-0000-0000-0000-000000000005,1,Servers,4,10000,40000,18,0,40000
20000000-0000-0000-0000-000000000010,10000000-0000-0000-0000-000000000005,2,Installation,2,11000,22000,18,0,22000
20000000-0000-0000-0000-000000000011,10000000-0000-0000-0000-000000000006,1,Consulting,2,9000,18000,18,0,18000
20000000-0000-0000-0000-000000000012,10000000-0000-0000-0000-000000000006,2,Training,2,5000,10000,18,0,10000
20000000-0000-0000-0000-000000000013,10000000-0000-0000-0000-000000000007,1,Equipment,5,9000,45000,18,0,45000
20000000-0000-0000-0000-000000000014,10000000-0000-0000-0000-000000000007,2,Maintenance,2,13000,26000,18,0,26000
20000000-0000-0000-0000-000000000015,10000000-0000-0000-0000-000000000008,1,Office Chairs,3,4000,12000,18,0,12000
20000000-0000-0000-0000-000000000016,10000000-0000-0000-0000-000000000008,2,Office Tables,2,3000,6000,18,0,6000
20000000-0000-0000-0000-000000000017,10000000-0000-0000-0000-000000000009,1,Cloud Subscription,4,12000,48000,18,0,48000
20000000-0000-0000-0000-000000000018,10000000-0000-0000-0000-000000000009,2,Premium Support,4,11000,44000,18,0,44000
20000000-0000-0000-0000-000000000019,10000000-0000-0000-0000-000000000010,1,Steel Sheets,3,6000,18000,18,0,18000
20000000-0000-0000-0000-000000000020,10000000-0000-0000-0000-000000000010,2,Processing Charges,3,5000,15000,18,0,15000
20000000-0000-0000-0000-000000000021,10000000-0000-0000-0000-000000000011,1,Network Switch,4,7000,28000,18,0,28000
20000000-0000-0000-0000-000000000022,10000000-0000-0000-0000-000000000011,2,Cabling,4,7000,28000,18,0,28000
20000000-0000-0000-0000-000000000023,10000000-0000-0000-0000-000000000012,1,Software Upgrade,2,7000,14000,18,0,14000
20000000-0000-0000-0000-000000000024,10000000-0000-0000-0000-000000000012,2,Support Renewal,2,4000,8000,18,0,8000
20000000-0000-0000-0000-000000000025,10000000-0000-0000-0000-000000000013,1,Engineering Service,4,12000,48000,18,0,48000
20000000-0000-0000-0000-000000000026,10000000-0000-0000-0000-000000000013,2,Audit Service,2,19000,38000,18,0,38000
20000000-0000-0000-0000-000000000027,10000000-0000-0000-0000-000000000014,1,Electrical Parts,4,6000,24000,18,0,24000
20000000-0000-0000-0000-000000000028,10000000-0000-0000-0000-000000000014,2,Repair Charges,2,9500,19000,18,0,19000
20000000-0000-0000-0000-000000000029,10000000-0000-0000-0000-000000000015,1,Consumables,3,5000,15000,18,0,15000
20000000-0000-0000-0000-000000000030,10000000-0000-0000-0000-000000000015,2,Misc Items,2,6000,12000,18,0,12000
20000000-0000-0000-0000-000000000031,10000000-0000-0000-0000-000000000016,1,Firewall Appliance,5,10000,50000,18,0,50000
20000000-0000-0000-0000-000000000032,10000000-0000-0000-0000-000000000016,2,Configuration,2,24500,49000,18,0,49000
20000000-0000-0000-0000-000000000033,10000000-0000-0000-0000-000000000017,1,Chemicals,3,7000,21000,18,0,21000
20000000-0000-0000-0000-000000000034,10000000-0000-0000-0000-000000000017,2,Freight,2,9000,18000,18,0,18000
20000000-0000-0000-0000-000000000035,10000000-0000-0000-0000-000000000018,1,Industrial Pump,2,16000,32000,18,0,32000
20000000-0000-0000-0000-000000000036,10000000-0000-0000-0000-000000000018,2,Installation,2,10000,20000,18,0,20000
20000000-0000-0000-0000-000000000037,10000000-0000-0000-0000-000000000019,1,Warehouse Rent,2,20000,40000,18,0,40000
20000000-0000-0000-0000-000000000038,10000000-0000-0000-0000-000000000019,2,Security Service,2,10500,21000,18,0,21000
20000000-0000-0000-0000-000000000039,10000000-0000-0000-0000-000000000020,1,Office Renovation,2,15000,30000,18,0,30000
20000000-0000-0000-0000-000000000040,10000000-0000-0000-0000-000000000020,2,Painting Service,2,8500,17000,18,0,17000
