ID,invoiceNumber,vendor_ID,invoiceDate,dueDate,amount,currency_code,status,criticality
10000000-0000-0000-0000-000000000001,INV-001,11111111-1111-1111-1111-111111111111,2026-06-01,2026-07-01,50000,USD,APPROVED,3
10000000-0000-0000-0000-000000000002,INV-002,22222222-2222-2222-2222-222222222222,2026-06-03,2026-07-03,25000,EUR,SUBMITTED,2
10000000-0000-0000-0000-000000000003,INV-003,33333333-3333-3333-3333-333333333333,2026-06-05,2026-07-05,15000,INR,REJECTED,1
10000000-0000-0000-0000-000000000004,INV-004,55555555-5555-5555-5555-555555555555,2026-06-07,2026-07-07,45000,EUR,DRAFT,0
10000000-0000-0000-0000-000000000005,INV-005,66666666-6666-6666-6666-666666666666,2026-06-08,2026-07-08,62000,GBP,APPROVED,3
10000000-0000-0000-0000-000000000006,INV-006,88888888-8888-8888-8888-888888888888,2026-06-10,2026-07-10,28000,AUD,DRAFT,0
10000000-0000-0000-0000-000000000007,INV-007,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2026-06-12,2026-07-12,71000,USD,SUBMITTED,2
10000000-0000-0000-0000-000000000008,INV-008,11111111-1111-1111-1111-111111111111,2026-06-14,2026-07-14,18000,USD,APPROVED,3
10000000-0000-0000-0000-000000000009,INV-009,22222222-2222-2222-2222-222222222222,2026-06-15,2026-07-15,92000,EUR,REJECTED,1
10000000-0000-0000-0000-000000000010,INV-010,33333333-3333-3333-3333-333333333333,2026-06-17,2026-07-17,33000,INR,SUBMITTED,2
10000000-0000-0000-0000-000000000011,INV-011,55555555-5555-5555-5555-555555555555,2026-06-18,2026-07-18,56000,EUR,APPROVED,3
10000000-0000-0000-0000-000000000012,INV-012,66666666-6666-6666-6666-666666666666,2026-06-20,2026-07-20,22000,GBP,DRAFT,0
10000000-0000-0000-0000-000000000013,INV-013,88888888-8888-8888-8888-888888888888,2026-06-21,2026-07-21,86000,AUD,APPROVED,3
10000000-0000-0000-0000-000000000014,INV-014,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2026-06-22,2026-07-22,43000,USD,SUBMITTED,2
10000000-0000-0000-0000-000000000015,INV-015,11111111-1111-1111-1111-111111111111,2026-06-23,2026-07-23,27000,USD,DRAFT,0
10000000-0000-0000-0000-000000000016,INV-016,22222222-2222-2222-2222-222222222222,2026-06-24,2026-07-24,99000,EUR,APPROVED,3
10000000-0000-0000-0000-000000000017,INV-017,33333333-3333-3333-3333-333333333333,2026-06-25,2026-07-25,39000,INR,REJECTED,1
10000000-0000-0000-0000-000000000018,INV-018,55555555-5555-5555-5555-555555555555,2026-06-26,2026-07-26,51000,EUR,SUBMITTED,2
10000000-0000-0000-0000-000000000019,INV-019,66666666-6666-6666-6666-666666666666,2026-06-27,2026-07-27,44000,GBP,APPROVED,3
10000000-0000-0000-0000-000000000020,INV-020,88888888-8888-8888-8888-888888888888,2026-06-28,2026-07-28,78000,AUD,DRAFT,0
